database,service,phase,status,table_name,chinese_name,field_order,field_name,data_type,meaning,rules
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,10,login_fail_count,INT,连续登录失败次数,默认 0；登录成功后清零
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,11,locked_until,DATETIME(3),临时锁定截止时间,可为空
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,12,password_changed_at,DATETIME(3),密码最后修改时间,可为空
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,13,last_login_at,DATETIME(3),最后成功登录时间,可为空
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,14,last_login_ip,VARCHAR(64),最后成功登录 IP,兼容 IPv4/IPv6；敏感
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,15,version,INT,乐观锁版本号,默认 0
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,16,deleted,TINYINT,逻辑删除标记,0-未删除；1-已删除
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,17,created_by,BIGINT,创建人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,18,created_at,DATETIME(3),创建时间,
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,19,updated_by,BIGINT,最后更新人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,20,updated_at,DATETIME(3),最后更新时间,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,1,id,BIGINT,角色主键,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,2,tenant_id,BIGINT,所属租户编号,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,3,role_code,VARCHAR(100),角色编码,租户内唯一；程序权限判断使用
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,4,role_name,VARCHAR(100),角色名称,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,5,description,VARCHAR(500),角色说明,可为空
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,6,built_in,TINYINT,是否内置角色,0-否；1-是
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,7,status,TINYINT,角色状态,0-禁用；1-启用
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,8,sort_order,INT,展示排序值,默认 0
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,9,version,INT,乐观锁版本号,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,10,deleted,TINYINT,逻辑删除标记,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,11,created_by,BIGINT,创建人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,12,created_at,DATETIME(3),创建时间,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,13,updated_by,BIGINT,最后更新人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_role,角色表,14,updated_at,DATETIME(3),最后更新时间,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,1,id,BIGINT,权限主键,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,2,permission_code,VARCHAR(150),权限编码,全局唯一；格式：资源:动作
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,3,permission_name,VARCHAR(100),权限名称,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,4,permission_type,TINYINT,权限类型,1-菜单；2-按钮；3-接口
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,5,parent_id,BIGINT,父权限编号,0 表示根节点
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,6,resource_path,VARCHAR(255),资源路径,菜单路由或接口路径；可为空
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,7,http_method,VARCHAR(10),HTTP 请求方法,GET/POST/PUT/PATCH/DELETE；可为空
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,8,description,VARCHAR(500),权限说明,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,9,sort_order,INT,展示排序值,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,10,status,TINYINT,权限状态,0-禁用；1-启用
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,11,version,INT,乐观锁版本号,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,12,deleted,TINYINT,逻辑删除标记,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,13,created_by,BIGINT,创建人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,14,created_at,DATETIME(3),创建时间,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,15,updated_by,BIGINT,最后更新人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_permission,权限表,16,updated_at,DATETIME(3),最后更新时间,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,1,id,BIGINT,关联记录主键,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,2,tenant_id,BIGINT,所属租户编号,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,3,user_id,BIGINT,用户编号,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,4,role_id,BIGINT,角色编号,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,5,created_by,BIGINT,创建人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_user_role,用户角色关联表,6,created_at,DATETIME(3),创建时间,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,1,id,BIGINT,关联记录主键,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,2,tenant_id,BIGINT,授权所属租户编号,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,3,role_id,BIGINT,角色编号,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,4,permission_id,BIGINT,权限编号,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,5,created_by,BIGINT,创建人用户编号,
eap_user,user-service,第一迭代,已迁移,sys_role_permission,角色权限关联表,6,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,1,id,BIGINT,会话主键,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,3,user_id,BIGINT,会话所属用户编号,逻辑关联 sys_user.id，不建跨服务外键
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,4,title,VARCHAR(200),会话标题,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,5,knowledge_base_id,BIGINT,关联知识库编号,第一迭代为空
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,6,model_code,VARCHAR(100),会话默认模型编码,可为空
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,7,status,TINYINT,会话状态,1-正常；2-归档
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,8,message_count,INT,会话消息数量,默认 0，新增消息时维护
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,9,last_message_at,DATETIME(3),最后消息时间,可为空
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,10,version,INT,乐观锁版本号,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,11,deleted,TINYINT,逻辑删除标记,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,12,created_by,BIGINT,创建人用户编号,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,13,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,14,updated_by,BIGINT,最后更新人用户编号,
eap_ai,ai-service,第一迭代,已迁移,ai_conversation,AI 会话表,15,updated_at,DATETIME(3),最后更新时间,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,1,id,BIGINT,消息主键,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,3,conversation_id,BIGINT,所属会话编号,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,4,user_id,BIGINT,会话所属用户编号,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,5,parent_message_id,BIGINT,父消息编号,支持重新生成和消息树；可为空
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,6,client_message_id,VARCHAR(64),客户端消息唯一编号,用于幂等；可为空
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,7,request_id,VARCHAR(64),请求链路编号,可为空
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,8,role,VARCHAR(20),消息角色,SYSTEM/USER/ASSISTANT/TOOL
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,9,content_type,VARCHAR(20),内容类型,默认 TEXT
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,10,content,MEDIUMTEXT,消息正文,可能包含企业敏感信息
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,11,message_status,TINYINT,消息状态,1-完成；2-生成中；3-失败
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,12,model_code,VARCHAR(100),生成消息使用的模型编码,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,13,prompt_tokens,INT,输入 Token 数量,默认 0
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,14,completion_tokens,INT,输出 Token 数量,默认 0
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,15,total_tokens,INT,总 Token 数量,默认 0
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,16,latency_ms,BIGINT,模型调用耗时,单位毫秒
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,17,finish_reason,VARCHAR(50),模型停止原因,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,18,error_code,VARCHAR(100),失败错误码,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,19,metadata_json,JSON,扩展元数据,禁止放入密钥
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,20,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,第一迭代,已迁移,ai_message,AI 消息表,21,updated_at,DATETIME(3),更新时间,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,1,id,BIGINT,部门主键,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,2,tenant_id,BIGINT,所属租户编号,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,3,parent_id,BIGINT,父部门编号,0 表示根部门
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,4,department_code,VARCHAR(100),部门编码,租户内唯一
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,5,department_name,VARCHAR(100),部门名称,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,6,leader_user_id,BIGINT,部门负责人用户编号,可为空
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,7,path,VARCHAR(1000),祖先路径,示例 /1/10/103/，便于子树查询
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,8,level,INT,组织层级,根部门为 1
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,9,sort_order,INT,同级展示顺序,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,10,status,TINYINT,部门状态,0-禁用；1-启用
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,11,version,INT,乐观锁版本号,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,12,deleted,TINYINT,逻辑删除标记,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,13,created_by,BIGINT,创建人用户编号,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,14,created_at,DATETIME(3),创建时间,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,15,updated_by,BIGINT,最后更新人用户编号,
eap_user,user-service,认证与组织增强,规划,sys_department,部门表,16,updated_at,DATETIME(3),最后更新时间,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,1,id,BIGINT,关联主键,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,2,tenant_id,BIGINT,所属租户编号,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,3,user_id,BIGINT,用户编号,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,4,department_id,BIGINT,部门编号,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,5,primary_flag,TINYINT,是否主部门,0-否；1-是
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,6,position_name,VARCHAR(100),用户在该部门的岗位名称,可为空
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,7,created_by,BIGINT,创建人用户编号,
eap_user,user-service,认证与组织增强,规划,sys_user_department,用户部门关联表,8,created_at,DATETIME(3),创建时间,
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,1,id,BIGINT,审计记录主键,
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,2,tenant_id,BIGINT,解析后的租户编号,未识别时可为空
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,3,tenant_code,VARCHAR(50),登录请求中的租户编码,
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,4,user_id,BIGINT,解析后的用户编号,登录失败时可为空
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,5,username,VARCHAR(50),登录请求用户名,按脱敏策略展示
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,6,login_type,VARCHAR(30),登录方式,PASSWORD/SSO/API_CLIENT
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,7,login_result,VARCHAR(20),登录结果,SUCCESS/FAILURE/LOCKED/LOGOUT
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,8,failure_reason,VARCHAR(100),失败原因编码,不得记录明文密码
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,9,client_ip,VARCHAR(64),客户端 IP,敏感
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,10,user_agent,VARCHAR(1000),客户端 User-Agent,敏感
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,11,device_id,VARCHAR(128),客户端设备标识,可为空；敏感
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,12,request_id,VARCHAR(64),请求链路编号,
eap_user,auth-service,认证与组织增强,规划,sys_login_audit,登录审计表,13,occurred_at,DATETIME(3),事件发生时间,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,1,id,BIGINT,审计记录主键,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,2,tenant_id,BIGINT,所属租户编号,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,3,user_id,BIGINT,操作者用户编号,系统任务可为空
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,4,service_name,VARCHAR(100),执行操作的服务名,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,5,operation_type,VARCHAR(50),操作类型,CREATE/UPDATE/DELETE/EXPORT/GRANT 等
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,6,resource_type,VARCHAR(100),被操作资源类型,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,7,resource_id,VARCHAR(100),被操作资源编号,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,8,request_method,VARCHAR(10),HTTP 方法,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,9,request_path,VARCHAR(500),请求路径,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,10,request_id,VARCHAR(64),请求链路编号,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,11,client_ip,VARCHAR(64),客户端 IP,敏感
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,12,result_status,VARCHAR(20),执行结果,SUCCESS/FAILURE
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,13,error_code,VARCHAR(100),失败错误码,
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,14,summary,VARCHAR(1000),可读操作摘要,不得包含密码或密钥
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,15,detail_json,JSON,变更前后差异或附加信息,字段级脱敏
eap_user,user-service,认证与组织增强,规划,sys_operation_audit,操作审计表,16,occurred_at,DATETIME(3),操作发生时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,1,id,BIGINT,供应商配置主键,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,3,provider_code,VARCHAR(100),供应商配置编码,租户内唯一
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,4,provider_name,VARCHAR(100),供应商显示名称,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,5,provider_type,VARCHAR(50),供应商类型,OPENAI_COMPATIBLE/AZURE_OPENAI/OLLAMA 等
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,6,base_url,VARCHAR(500),API 基础地址,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,7,api_key_ciphertext,TEXT,加密后的 API Key,仅保存密文，禁止接口回显
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,8,secret_version,INT,密钥版本号,用于轮换
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,9,timeout_ms,INT,请求超时时间,单位毫秒
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,10,proxy_url,VARCHAR(500),可选代理地址,敏感
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,11,config_json,JSON,供应商扩展配置,禁止保存明文密钥
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,12,status,TINYINT,配置状态,0-禁用；1-启用
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,13,version,INT,乐观锁版本号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,14,deleted,TINYINT,逻辑删除标记,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,15,created_by,BIGINT,创建人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,16,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,17,updated_by,BIGINT,最后更新人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model_provider,模型供应商配置表,18,updated_at,DATETIME(3),最后更新时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,1,id,BIGINT,模型主键,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,3,provider_id,BIGINT,模型供应商配置编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,4,model_code,VARCHAR(100),平台模型编码,租户内唯一，业务引用使用
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,5,remote_model_name,VARCHAR(200),供应商侧模型名称,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,6,model_name,VARCHAR(100),平台显示名称,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,7,model_type,VARCHAR(30),模型类型,CHAT/EMBEDDING/RERANK/MULTIMODAL
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,8,context_window,INT,上下文窗口 Token 上限,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,9,max_output_tokens,INT,最大输出 Token 数,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,10,supports_streaming,TINYINT,是否支持流式输出,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,11,supports_tools,TINYINT,是否支持工具调用,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,12,supports_json,TINYINT,是否支持结构化 JSON 输出,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,13,supports_vision,TINYINT,是否支持图片输入,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,14,default_temperature,"DECIMAL(5,4)",默认温度参数,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,15,input_price_per_million,"DECIMAL(18,6)",每百万输入 Token 价格,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,16,output_price_per_million,"DECIMAL(18,6)",每百万输出 Token 价格,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,17,currency,VARCHAR(10),计费币种,ISO 4217 代码
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,18,config_json,JSON,模型扩展参数,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,19,status,TINYINT,模型状态,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,20,version,INT,乐观锁版本号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,21,deleted,TINYINT,逻辑删除标记,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,22,created_by,BIGINT,创建人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,23,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,24,updated_by,BIGINT,最后更新人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_model,模型定义表,25,updated_at,DATETIME(3),最后更新时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,1,id,BIGINT,模板主键,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,3,prompt_code,VARCHAR(100),Prompt 编码,租户内唯一
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,4,prompt_name,VARCHAR(150),Prompt 名称,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,5,prompt_category,VARCHAR(50),Prompt 分类,CHAT/RAG/AGENT/EVALUATION 等
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,6,description,VARCHAR(1000),模板用途说明,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,7,active_version_id,BIGINT,当前生效版本编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,8,status,TINYINT,模板状态,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,9,version,INT,乐观锁版本号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,10,deleted,TINYINT,逻辑删除标记,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,11,created_by,BIGINT,创建人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,12,created_at,DATETIME(3),创建时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,13,updated_by,BIGINT,最后更新人用户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_template,Prompt 模板表,14,updated_at,DATETIME(3),最后更新时间,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,1,id,BIGINT,Prompt 版本主键,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,2,tenant_id,BIGINT,所属租户编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,3,template_id,BIGINT,所属 Prompt 模板编号,
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,4,version_no,INT,版本号,同一模板内递增
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,5,system_prompt,MEDIUMTEXT,系统提示词,可能包含企业策略
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,6,user_prompt_template,MEDIUMTEXT,用户提示词模板,使用命名变量占位符
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,7,variables_json,JSON,模板变量定义,名称、类型、必填、默认值
eap_ai,ai-service,模型与 Prompt 管理,规划,ai_prompt_version,Prompt 版本表,8,model_parameters_json,JSON,推荐模型参数,
